0	0	4.0	1.3
0	0	3.6	0.8
0	0	3.2	0.6
0	0	3.0	0.9
0	0	2.8	0.9
0	0	2.7	1.2
0	0	2.5	0.8
2	2	2.6	1.8
75	66	3.4	1.2
127	122	4.1	3.4
209	195	5.0	2.5
212	204	5.5	2.3
194	189	5.8	2.7
84	84	5.4	2.9
71	71	5.1	2.3
50	50	4.8	3.9
4	4	4.3	2.3
0	0	3.9	2.7
0	0	3.8	1.8
0	0	3.6	2.0
0	0	3.4	2.0
0	0	3.3	1.0
0	0	3.1	0.6
0	0	3.0	0.5
0	0	2.8	0.6
0	0	2.8	2.1
0	0	2.8	3.4
0	0	2.8	2.9
0	0	2.8	3.6
0	0	2.8	2.5
0	0	2.8	3.1
1	1	2.9	1.2
29	29	3.5	1.6
257	119	6.3	1.3
372	119	8.7	1.8
440	164	10.6	1.0
352	241	11.5	2.1
359	181	12.1	2.5
251	189	12.2	1.3
154	116	11.5	2.1
39	35	10.4	1.4
0	0	9.2	1.8
0	0	8.7	0.8
0	0	8.2	0.5
0	0	7.7	0.3
0	0	7.1	0.2
0	0	6.6	0.1
0	0	6.1	0.1
0	0	5.3	0.0 
0	0	4.5	0.0
0	0	3.7	0.1
0	0	3.3	0.1
0	0	2.8	0.1
0	0	2.6	0.1
0	0	2.3	0.1
3	3	2.3	0.2
82	66	3.5	0.3
235	114	5.3	0.6
293	211	6.7	2.0
382	191	8.0	2.1
438	158	9.2	3.1
390	158	9.8	2.3
363	107	10.1	1.3
190	86	9.6	2.1
61	35	8.6	4.4
0	0	7.4	7.1
0	0	6.7	5.5
0	0	6.0	3.1
0	0	5.2	2.5
0	0	4.5	2.7
0	0	3.8	2.1
0	0	3.1	2.3
0	0	2.5	2.5
0	0	1.8	2.5
0	0	1.2	3.1
0	0	0.9	3.9
0	0	0.5	5.2
0	0	0.3	2.9
0	0	0.1	1.4
1	1	0.0	1.1
123	63	1.9	1.2
253	102	3.7	0.7
267	191	4.7	1.0
196	187	4.9	0.8
339	245	5.7	1.8
313	223	6.2	0.7
139	135	5.7	0.5
213	102	5.7	0.5
71	44	5.0	0.6
0	0	4.0	1.1
0	0	3.5	1.2
0	0	3.0	1.8
0	0	2.4	0.9
0	0	1.9	1.4
0	0	1.4	1.3
0	0	0.8	1.2
0	0	0.5	3.1
0	0	0.1	3.9
0	0	-0.2	2.9
0	0	-0.4	2.0
0	0	-0.6	3.6
0	0	-0.7	2.7
0	0	-0.8	3.6
2	2	-0.7	2.1
85	71	0.6	1.6
190	147	2.3	1.2
255	208	3.6	0.8
344	257	5.0	0.7
357	268	6.0	0.7
328	245	6.6	1.4
264	193	6.7	1.3
157	111	6.3	1.3
66	53	5.4	2.3
0	0	4.4	3.4
0	0	3.9	3.1
0	0	3.4	1.3
0	0	2.9	2.9
0	0	2.4	2.9
0	0	1.9	2.3
0	0	1.4	2.7
0	0	0.9	4.4
0	0	0.4	4.6
0	0	-0.2	4.4
0	0	-0.4	3.9
0	0	-0.7	3.6
0	0	-0.9	3.1
0	0	-1.1	3.4
1	1	-1.0	3.1
74	65	0.1	2.7
89	89	0.6	1.4
321	188	2.5	1.8
373	205	4.1	2.5
385	226	5.1	3.9
230	211	5.2	4.6
229	178	5.3	5.2
115	107	4.7	3.9
45	39	3.9	1.8
0	0	3.0	0.6
0	0	2.5	0.6
0	0	1.9	0.3
0	0	1.4	0.5
0	0	0.8	0.2
0	0	0.3	0.2
0	0	-0.3	0.2
0	0	-0.8	0.2
0	0	-1.3	0.1
0	0	-1.8	0.2
0	0	-2.1	0.2
0	0	-2.3	0.4
0	0	-2.5	0.2
0	0	-2.7	0.2
4	4	-2.6	0.3
121	66	-0.9	0.3
269	101	1.0	0.3
334	172	2.4	0.4
476	137	4.1	0.6
453	173	5.1	0.4
286	219	5.1	0.9
167	159	4.4	1.0
93	93	3.5	0.5
5	5	2.4	0.7
0	0	1.4	1.0
0	0	1.2	1.3
0	0	0.9	1.8
0	0	0.7	1.4
0	0	0.5	1.8
0	0	0.3	1.6
0	0	0.0	1.6
0	0	-0.2	1.1
0	0	-0.3	1.2
0	0	-0.5	1.4
0	0	-0.6	0.7
0	0	-0.7	0.4
0	0	-0.7	0.2
0	0	-0.8	0.1
3	3	-0.6	0.2
66	64	0.5	0.3
108	108	1.4	0.6
190	182	2.6	1.6
244	229	3.7	2.3
259	241	4.5	3.6
207	197	4.9	5.2
246	174	5.3	3.4
214	83	5.5	1.2
66	38	4.9	2.7
0	0	4.1	3.1
0	0	3.5	2.5
0	0	2.9	2.0
0	0	2.3	2.1
0	0	1.7	4.2
0	0	1.1	4.2
0	0	0.5	5.2
0	0	-0.2	3.4
0	0	-0.9	4.4
0	0	-1.7	4.4
0	0	-2.1	3.6
0	0	-2.5	2.9
0	0	-2.8	2.1
0	0	-3.1	3.1
2	2	-3.1	3.1
72	67	-2.1	1.8
165	143	-0.9	2.7
208	190	0.0	2.9
